TreeOrder	Order	Family	Genus	ID	Repeat_BUSCOs	Accession	Tech_coarse	Tech_fine	Assembly_Length	Log10_Length	Contig_N50	Log10_N50	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	"BUSCO_Sum (Single, Dup, Frag, Missing)"	LINEs_bases	LINEs_proportion	SINEs_bases	SINEs_proportion	LTRs_bases	LTRs_proportion	DNA_trans_bases	DNA_trans_proportion	tandem_repeats_bases	tandem_repeats_proportion	other_repeats_bases	other_repeats_proportion	unclassified_bases	unclassified_proportion	unclassified_prop_reps	all_repeats_bases	all_repeats_proportion	assembly_length	unique_low_repeat_bases	unique_low_repeat_proportion	TE_BUSCOs	empties																																					
277	Coleoptera	Meloidae	Hycleus	557	6	GCA_013841215.1	short	short	99165299	8	86942	4.94	99.4	0.1	99.5	0.995	0.1	0.4	100	1168854	0.0118	13114	0.0001	481143	0.0048	2313108	0.0234	2200646	0.0223	632938	0.0063	11453217	0.1155	0.627126127	18263020	0.184167448	99165299	80902279	0.815832552	YES	6																																					
278	Coleoptera	Meloidae	Hycleus	556	1	GCA_013841185.1	short	short	90869815	7.96	75478	4.88	99.3	0.1	99.4	0.994	0.1	0.5	100	1177697	0.013	9177	0.0001	285794	0.0032	1307599	0.0144	2179634	0.0239	826231	0.0091	7004835	0.077	0.547639205	12790967	0.140761451	90869815	78078848	0.859238549	YES	1																																					
279	Coleoptera	Coccinellidae	Harmonia	574	139	GCA_011033045.1	long	pacbio	417140630	8.62	1254346	6.1	91.2	2.4	93.6	0.936	1	5.4	100	39473920	0.0946	298987	0.0007	12330950	0.0295	92836526	0.2225	1958188	0.0046	7603036	0.0182	89184508	0.2138	0.365981082	243686115	0.584182162	417140630	173454515	0.415817838	YES	139																																					
280	Coleoptera	Coccinellidae	Coccinella	577	89	GCA_003568925.1	short	short	514957465	8.71	21314	4.33	89.9	5.9	95.8	0.958	1.8	2.4	100	57628020	0.1119	4597	0	18903568	0.0367	66410711	0.129	1756646	0.0034	7365609	0.0143	119473306	0.232	0.439980205	271542457	0.527310459	514957465	243415008	0.472689541	YES	89																																					
281	Coleoptera	Coccinellidae	Propylea	588	300	GCA_013421045.1	long	pacbio	851227647	8.93	813984	5.91	88.5	6.2	94.7	0.947	1	4.3	100	74604650	0.0876	250191	0.0003	31405942	0.0369	155103144	0.1822	2860354	0.0033	34803007	0.041	264047527	0.3102	0.468938621	563074815	0.661485581	851227647	288152832	0.338514419	YES	300																																					
282	Coleoptera	Coccinellidae	Cryptolaemus	590	322	GCA_013387265.1	long	oxford	988106770	8.99	10375940	7.02	95.9	1.1	97	0.97	0.7	2.3	100	265496560	0.2687	2701354	0.0027	16001770	0.0162	301943439	0.3055	9651564	0.0098	86572098	0.0876	120015681	0.1215	0.149574157	802382466	0.812040247	988106770	185724304	0.187959753	YES	322																																					
283	Coleoptera	Scarabaeidae	Oryctes	572	36	GCA_902654985.1	none	none	388628564	8.59	171752	5.23	95.6	0.9	96.5	0.965	0.4	3.1	100	24885945	0.064	150325	0.0004	2310995	0.0059	62332677	0.1604	2599359	0.0067	9356362	0.0241	49989482	0.1286	0.32969124	151625145	0.390154402	388628564	237003419	0.609845598	YES	36																																					
284	Coleoptera	Scarabaeidae	Marronus	573	36	GCA_902655005.1	none	none	406936680	8.61	107748	5.03	94.4	1.8	96.2	0.962	1	2.8	100	26036910	0.064	275771	0.0007	2674593	0.0066	60368900	0.1483	2438090	0.0059	9061334	0.0222	52725067	0.1296	0.34330537	153580665	0.377406787	406936680	253356015	0.622593213	YES	36																																					
285	Coleoptera	Scarabaeidae	Trypoxylus	583	143	GCA_014905495.1	long	pacbio	739405423	8.87	7929129	6.9	98.2	1.1	99.3	0.993	0.4	0.3	100	54119846	0.0732	77749	0.0001	83460663	0.1128	180978880	0.2448	4905028	0.0066	21173881	0.0286	135356755	0.1831	0.281950476	480072802	0.649268706	739405423	259332621	0.350731294	YES	143																																					
286	Coleoptera	Scarabaeidae	Popillia	578	0	GCA_004785975.1	short	short	531530429	8.73	13656	4.14	83.2	2.6	85.8	0.858	6.9	7.3	100	56948724	0.1071	272249	0.0005	10154002	0.0191	82434949	0.1551	4395271	0.0082	11439770	0.0216	71871619	0.1352	0.302596214	237516584	0.446854161	531530429	294013845	0.553145839	NO	600																																					
287	Coleoptera	Scarabaeidae	Chrysina	580	0	GCA_010091895.1	short	short	611439635	8.79	20382	4.31	77.9	0.4	78.3	0.783	11.7	10	100	60359086	0.0987	2882713	0.0047	5672818	0.0093	108800840	0.178	5533321	0.009	7043791	0.0115	83231988	0.1361	0.304294389	273524557	0.447345153	611439635	337915078	0.552654847	NO	600																																					
288	Coleoptera	Scarabaeidae	Protaetia	595	206	GCA_004143645.1	long	pacbio	1143903595	9.06	318221	5.5	64.4	32.7	97.1	0.971	1.4	1.5	100	150727121	0.1318	1602958	0.0014	23497970	0.0205	165448584	0.1447	9205102	0.008	26507358	0.0231	337748610	0.2953	0.472549032	714737703	0.624812279	1143923906	429186203	0.375187721	YES	206																																					
289	Coleoptera	Scarabaeidae	Onthophagus	567	48	GCA_000648695.2	short	short	267079363	8.43	101202	5.01	96.7	2.8	99.5	0.995	0.1	0.4	100	23955763	0.0897	3064	0	5118033	0.0192	30107389	0.1127	2739521	0.0102	4435850	0.0167	54669087	0.2047	0.451703471	121028707	0.453156341	267079363	146050656	0.546843659	YES	48																																					
290	Coleoptera	Staphylinidae	Aleochara	555	2	GCA_003054995.1	short	short	85899700	7.93	12135	4.08	93.3	0.4	93.7	0.937	3.5	2.8	100	926595	0.0108	34732	0.0004	1031532	0.012	735673	0.0086	1974061	0.023	373966	0.0044	2608503	0.0303	0.339425108	7685062	0.089465528	85899700	78214638	0.910534472	YES	2																																					
291	Coleoptera	Staphylinidae	Aenictocupidus	561	0	GCA_010014765.1	short	short	178224308	8.25	5917	3.77	87.2	0.4	87.6	0.876	6.7	5.7	100	13147270	0.0738	776154	0.0043	1329514	0.0075	4656467	0.0261	2535557	0.0142	1011183	0.0056	26137204	0.1467	0.527030429	49593349	0.278263664	178224308	128630959	0.721736336	NO	600																																					
292	Coleoptera	Silphidae	Nicrophorus	563	5	GCA_001412225.1	long	pacbio	195273382	8.29	67958	4.83	98	1.5	99.5	0.995	0.3	0.2	100	2783671	0.0142	5519	0	226947	0.0012	9468832	0.0485	5508080	0.0282	55621	0.0003	10499966	0.0538	0.367792213	28548636	0.146184903	195291274	166742638	0.853815097	YES	5																																					
293	Coleoptera	Staphylinidae	Adranes	589	0	GCA_009867245.1	short	short	887888497	8.95	27425	4.44	75	0.4	75.4	0.754	15.4	9.2	100	148322532	0.167	658024	0.0007	16438552	0.0185	111742104	0.1258	10910601	0.0123	24920582	0.028	254241768	0.2863	0.448213074	567234163	0.63885743	887888497	320654334	0.36114257	NO	600																																					
294	Coleoptera	Lampyridae	Lamprigera	592	176	GCA_013368075.1	long	pacbio	1052929944	9.02	3509824	6.55	97.5	1.3	98.8	0.988	0.5	0.7	100	111676162	0.1061	132814	0.0001	49057692	0.0466	235770119	0.224	9903561	0.0093	30163524	0.0286	306582626	0.2912	0.412468983	743286498	0.705922082	1052929944	309643446	0.294077918	YES	176																																					
295	Coleoptera	Lampyridae	Abscondita	576	36	GCA_013368085.1	long	pacbio	499652588	8.7	1220005	6.09	96.5	2	98.5	0.985	0.3	1.2	100	33096969	0.0662	34622	0.0001	12211179	0.0244	40931212	0.0819	7670425	0.0153	7316569	0.0147	91243024	0.1826	0.473979886	192504000	0.385275699	499652588	307148588	0.614724301	YES	36																																					
296	Coleoptera	Lampyridae	Photinus	575	99	GCA_008802855.1	long	pacbio	471511253	8.67	170308	5.23	90	8.9	98.9	0.989	0.4	0.7	100	21606719	0.0459	257971	0.0005	15208448	0.0322	46664425	0.099	4324590	0.0092	5033633	0.0106	140731215	0.2985	0.601860411	233827001	0.495909694	471511253	237684252	0.504090306	YES	99																																					
297	Coleoptera	Elateridae	Ignelater	587	76	GCA_011009095.1	short	short	842898625	8.93	31102	4.49	95.5	1.5	97	0.97	1.6	1.4	100	50646453	0.06	682984	0.0008	23052187	0.0274	116231380	0.1379	6232707	0.0074	5790071	0.0069	143661445	0.1704	0.414850117	346297227	0.410840897	842898625	496601398	0.589159103	YES	76																																					
298	Coleoptera	Elateridae	Limonius	593	0	GCA_014611495.1	long	pacbio	1072670101	9.03	19395	4.29	80.5	6.1	86.6	0.866	8.9	4.5	100	115517327	0.1076	15698090	0.0146	18526369	0.0173	214368128	0.1999	9652784	0.009	14695912	0.0137	220752408	0.2058	0.362357872	609211018	0.567938845	1072670101	463459083	0.432061155	NO	600																																					
299	Coleoptera	Buprestidae	Agrilus	571	45	GCA_000699045.2	short	short	353056831	8.55	28329	4.45	91.1	6.6	97.7	0.977	0.5	1.8	100	31257925	0.0885	348466	0.001	11178891	0.0317	27506634	0.0779	2813247	0.008	7099865	0.0201	50686543	0.1436	0.387240696	130891571	0.370737965	353056831	222165260	0.629262035	YES	45																																					
300	Coleoptera	Carabidae	Pogonus	570	8	GCA_002278615.1	short	short	280876046	8.45	5623	3.75	92.9	0.8	93.7	0.937	3.2	3.1	100	2935899	0.0104	46629	0.0002	2600671	0.0093	9699453	0.0345	7653860	0.0272	1251678	0.0045	32478023	0.1157	0.573146171	56666213	0.201748116	280876046	224209833	0.798251884	YES	8																																					
301	Megaloptera	Corydalidae	Neoneuromus	37	0	GCA_014529405.1	short	short	767796098	8.89	2248	3.35	66.9	11.9	78.8	0.788	7.3	13.9	100	29109716	0.0379	963339	0.0012	3597851	0.0047	112100402	0.146	45861544	0.0597	1807633	0.0023	84168482	0.1096	0.30319079	277608967	0.36154206	767846946	490237979	0.63845794	NO	600																																					
302	Strepsiptera	Mengenillidae	Mengenilla	10	0	GCA_000281935.1	short	short	155727465	8.19	4038	3.61	55.4	0.2	55.6	0.556	22.5	21.9	100	2680433	0.0172	20867	0.0001	5119233	0.0329	14076859	0.0904	2055013	0.0132	774762	0.0049	51019446	0.3276	0.673554156	75746613	0.48640497	155727465	79980852	0.51359503	NO	600																																					
303	Hymenoptera	Apidae	Bombus	255	6	GCA_011952275.1	long	oxford	282133710	8.45	3064919	6.49	99.2	0.5	99.7	0.997	0.2	0.1	100	8663984	0.0307	2493	0	28714132	0.1017	8799194	0.0312	4992855	0.0176	662537	0.0024	25929271	0.0919	0.333433409	77764466	0.275629828	282133710	204369244	0.724370172	YES	6																																					
304	Hymenoptera	Apidae	Bombus	243	4	GCA_011952205.1	long	oxford	266784621	8.43	2202782	6.34	99	0.4	99.4	0.994	0.3	0.3	100	6258114	0.0235	13249	0	15942291	0.0598	9303007	0.0348	5010724	0.0187	419491	0.0014	25920299	0.0972	0.412302589	62867175	0.235647673	266784621	203917446	0.764352327	YES	4																																					
305	Hymenoptera	Apidae	Bombus	248	2	GCA_011952255.1	long	oxford	275577952	8.44	2733020	6.44	99.5	0.1	99.6	0.996	0.3	0.1	100	7888771	0.0287	2422	0	21870310	0.0793	11314304	0.041	4930690	0.0178	561456	0.0021	25751592	0.0935	0.356080669	72319545	0.262428632	275577952	203258407	0.737571368	YES	2																																					
306	Hymenoptera	Apidae	Bombus	228	4	GCA_000188095.4	short	short	246856484	8.39	59072	4.77	99.4	0.1	99.5	0.995	0.1	0.4	100	3520390	0.0143	2391	0	4248763	0.0172	6111094	0.0248	5245923	0.0212	194290	0.0008	18528251	0.0751	0.489503608	37851102	0.15333242	246856484	209005382	0.84666758	YES	4																																					
307	Hymenoptera	Apidae	Bombus	229	5	GCA_014737485.1	short	short	253987937	8.4	377516	5.58	98.3	0.1	98.4	0.984	0.8	0.8	100	5611901	0.0221	1966	0	4665892	0.0184	8160121	0.0322	5138835	0.0201	577992	0.0024	24722497	0.0974	0.505787635	48879204	0.192446951	253987937	205108733	0.807553049	YES	5																																					
308	Hymenoptera	Apidae	Bombus	231	2	GCA_000214255.1	short	short	248654244	8.4	76043	4.88	98.7	0.2	98.9	0.989	0.7	0.4	100	2720929	0.0109	13214	0	2577371	0.0104	6355626	0.0256	4695420	0.0188	276476	0.001	16533815	0.0665	0.498414049	33172851	0.133409551	248654244	215481393	0.866590449	YES	2																																					
309	Hymenoptera	Apidae	Bombus	215	5	GCA_014825875.1	short	short	242565149	8.38	714304	5.85	97.6	0.1	97.7	0.977	0.7	1.6	100	3862761	0.0159	14742	0.0001	3393412	0.014	5419686	0.0223	5769744	0.0237	289132	0.0012	19050061	0.0785	0.503976027	37799538	0.155832518	242565149	204765611	0.844167482	YES	5																																					
310	Hymenoptera	Apidae	Bombus	226	6	GCA_014737335.1	short	short	245790074	8.39	427351	5.63	97.2	0.1	97.3	0.973	1.2	1.5	100	4070655	0.0166	1786	0	4115758	0.0167	6598042	0.0268	4647839	0.0189	375279	0.0015	21644772	0.0881	0.522137878	41454131	0.168656652	245790074	204335943	0.831343348	YES	6																																					
311	Hymenoptera	Apidae	Bombus	239	5	GCA_014737505.1	short	short	262420024	8.42	561947	5.75	99.3	0.2	99.5	0.995	0.2	0.3	100	4339479	0.0165	1644	0	3061641	0.0117	6363468	0.0242	4956350	0.0188	12423121	0.0473	26719415	0.1018	0.4617534	57865118	0.220505726	262420024	204554906	0.779494274	YES	5																																					
312	Hymenoptera	Apidae	Bombus	223	7	GCA_014737535.1	short	short	246986414	8.39	1128213	6.05	99.1	0.3	99.4	0.994	0.1	0.5	100	3632546	0.0147	1887	0	5858848	0.0237	6516817	0.0264	4776157	0.0192	248444	0.001	19283136	0.0781	0.478278062	40317835	0.16323908	246986414	206668579	0.83676092	YES	7																																					
313	Hymenoptera	Apidae	Bombus	221	5	GCA_014825925.1	short	short	248124274	8.39	1044356	6.02	99.4	0.2	99.6	0.996	0.1	0.3	100	4305072	0.0173	1797	0	3410315	0.0138	5221567	0.021	5077819	0.0204	271609	0.0011	24053747	0.097	0.568083441	42341926	0.17064806	248124274	205782348	0.82935194	YES	5																																					
314	Hymenoptera	Apidae	Bombus	236	5	GCA_014825855.1	short	short	254804690	8.41	781044	5.89	99.5	0.2	99.7	0.997	0.2	0.1	100	3659723	0.0143	2319	0	3041081	0.0119	17858975	0.0701	4905142	0.0192	326915	0.0013	18459728	0.0724	0.38255425	48253883	0.189375961	254804690	206550807	0.810624039	YES	5																																					
315	Hymenoptera	Apidae	Bombus	214	1	GCA_014825975.1	short	short	240538686	8.38	874667	5.94	99.6	0.3	99.9	0.999	0	0.1	100	1699169	0.0071	1688	0	1970000	0.0082	4557960	0.019	7786038	0.0323	299431	0.0013	18120967	0.0753	0.526233015	34435253	0.143158897	240538686	206103433	0.856841103	YES	1																																					
316	Hymenoptera	Apidae	Bombus	230	2	GCA_014737455.1	short	short	249068899	8.4	707207	5.85	99.3	0.2	99.5	0.995	0.2	0.3	100	2706980	0.0108	1395	0	3346050	0.0135	5079900	0.0204	6070081	0.0243	262494	0.0011	27149095	0.109	0.608505873	44615995	0.179131137	249068899	204452904	0.820868863	YES	2																																					
317	Hymenoptera	Apidae	Bombus	224	2	GCA_014737525.1	short	short	243560081	8.39	338993	5.53	99	0	99	0.99	0.4	0.6	100	3214229	0.0131	2473	0	3357664	0.0138	5006128	0.0205	5172578	0.0211	2651159	0.0107	19533507	0.0802	0.501660035	38937738	0.159869129	243560081	204622343	0.840130871	YES	2																																					
318	Hymenoptera	Apidae	Bombus	218	4	GCA_014737355.1	short	short	242038170	8.38	488970	5.69	99	0.7	99.7	0.997	0.1	0.2	100	4761414	0.0197	2556	0	4003850	0.0166	5851151	0.0242	5315211	0.0219	188289	0.0007	21085405	0.0871	0.511683859	41207876	0.170253626	242038170	200830294	0.829746374	YES	4																																					
319	Hymenoptera	Apidae	Bombus	222	6	GCA_014825825.1	short	short	243111512	8.39	442685	5.65	99.2	0.3	99.5	0.995	0.4	0.1	100	3840000	0.0158	12850	0	3651747	0.0151	7938891	0.0327	5098738	0.0209	244496	0.001	19524254	0.0803	0.48434089	40310976	0.165812699	243111512	202800536	0.834187301	YES	6																																					
320	Hymenoptera	Apidae	Bombus	217	1	GCA_014737405.1	short	short	242353651	8.38	731585	5.86	98.4	0.3	98.7	0.987	0.7	0.6	100	2961314	0.0122	1822	0	2469539	0.0102	5057954	0.0209	4988153	0.0205	271861	0.001	21969160	0.0906	0.582430401	37719803	0.155639508	242353651	204633848	0.844360492	YES	1																																					
321	Hymenoptera	Apidae	Bombus	225	5	GCA_014737365.1	short	short	243573539	8.39	582038	5.76	96.8	0.1	96.9	0.969	1.1	2	100	2612367	0.0108	45453	0.0002	2353479	0.0096	8256175	0.0339	5046365	0.0207	327702	0.0014	20796332	0.0854	0.527318803	39437873	0.161913618	243573539	204135666	0.838086382	YES	5																																					
322	Hymenoptera	Apidae	Bombus	216	3	GCA_014737475.1	short	short	239101172	8.38	411713	5.61	99	0.2	99.2	0.992	0.5	0.3	100	2108438	0.0088	1409	0	1604044	0.0067	5371668	0.0225	4981259	0.0208	296222	0.0013	19020964	0.0796	0.569762812	33384004	0.139622921	239101172	205717168	0.860377079	YES	3																																					
323	Hymenoptera	Apidae	Bombus	203	1	GCA_014737385.1	short	short	230139620	8.36	988972	6	99.1	0.4	99.5	0.995	0.3	0.2	100	1243835	0.0054	3237	0	1069728	0.0046	3552598	0.0155	5587532	0.0242	166032	0.0008	14380310	0.0625	0.553019251	26003272	0.112989115	230139620	204136348	0.887010885	YES	1																																					
324	Hymenoptera	Apidae	Bombus	202	1	GCA_014737395.1	short	short	231149577	8.36	1152409	6.06	99.1	0.2	99.3	0.993	0.3	0.4	100	1257192	0.0054	1910	0	1984339	0.0086	3751596	0.0163	5929201	0.0255	192947	0.0009	13513930	0.0584	0.5074489	26631115	0.11521161	231149577	204518462	0.88478839	YES	1																																					
325	Hymenoptera	Apidae	Tetragonula	256	4	GCA_010645165.1	short	short	284611473	8.45	18510	4.27	96.8	0.3	97.1	0.971	1.2	1.7	100	1693428	0.006	2272	0	998617	0.0035	10486954	0.0369	13648450	0.0479	387784	0.0014	29163961	0.1025	0.517261488	56381466	0.198099765	284611473	228230007	0.801900235	YES	4																																					
326	Hymenoptera	Apidae	Tetragonula	273	4	GCA_010645185.1	short	short	307102115	8.49	10501	4.02	95.5	0.3	95.8	0.958	2.2	2	100	2419380	0.0079	2156	0	1220583	0.0039	11943291	0.0389	15314103	0.0499	520242	0.0017	32631648	0.1063	0.509460316	64051403	0.208567118	307102115	243050712	0.791432882	YES	4																																					
327	Hymenoptera	Apidae	Tetragonula	271	1	GCA_010645115.1	short	short	299550189	8.48	13590	4.13	95.8	0.4	96.2	0.962	2	1.8	100	6311059	0.0211	2129	0	1131910	0.0037	10399883	0.0347	12248562	0.041	398139	0.0013	33981442	0.1134	0.52706368	64473124	0.215233127	299550189	235077065	0.784766873	YES	1																																					
328	Hymenoptera	Apidae	Tetragonula	288	1	GCA_011634685.1	short	short	337571621	8.53	16398	4.21	96.6	0.3	96.9	0.969	1.3	1.8	100	2550863	0.0075	95379	0.0003	4337886	0.0129	11662434	0.0346	13957836	0.0414	929461	0.0028	38501856	0.1141	0.534482874	72035715	0.213393871	337571621	265535906	0.786606129	YES	1																																					
329	Hymenoptera	Apidae	Tetragonula	267	1	GCA_010645135.1	short	short	294049662	8.47	14852	4.17	96	0.3	96.3	0.963	1.9	1.8	100	1694352	0.0058	2531	0	836836	0.0028	9984142	0.034	14110336	0.048	528292	0.0017	27875759	0.0948	0.506534987	55032248	0.187152903	294049662	239017414	0.812847097	YES	1																																					
330	Hymenoptera	Apidae	Lepidotrigona	283	6	GCA_002806875.1	short	short	333080613	8.52	6124	3.79	93.3	0.8	94.1	0.941	3.1	2.8	100	3448496	0.0103	1614	0	4286983	0.0129	9802815	0.0295	12389851	0.0372	1329874	0.0039	72602343	0.218	0.699027169	103861976	0.31182234	333080613	229218637	0.68817766	YES	6																																					
331	Hymenoptera	Apidae	Frieseomelitta	249	4	GCA_011392965.1	short	short	275421029	8.44	98566	4.99	98.3	0.4	98.7	0.987	0.6	0.7	100	2469122	0.009	1614	0	791951	0.0029	9240587	0.0335	13176564	0.0479	178207	0.0005	27109413	0.0984	0.511812611	52967458	0.192303928	275436173	222468715	0.807696072	YES	4																																					
332	Hymenoptera	Apidae	Melipona	237	4	GCA_001276565.1	short	short	256302695	8.41	12520	4.1	97.4	0.1	97.5	0.975	1.4	1.1	100	1056037	0.0041	12230	0	1003430	0.0039	7479026	0.0292	7951034	0.031	183749	0.0007	21826280	0.0852	0.552399226	39511786	0.154160634	256302695	216790909	0.845839366	YES	4																																					
333	Hymenoptera	Apidae	Apis	204	1	GCA_003314205.1	long	pacbio	227019819	8.36	5131172	6.71	99.6	0	99.6	0.996	0	0.4	100	156248	0.0007	2027	0	956350	0.0042	4563961	0.0201	13265040	0.0585	187058	0.0008	9738577	0.0429	0.337333782	28869261	0.12715693	227036473	198167212	0.87284307	YES	1																																					
334	Hymenoptera	Apidae	Apis	196	1	GCA_013841205.1	long	pacbio	224766697	8.35	3303520	6.52	99.6	0	99.6	0.996	0	0.4	100	105546	0.0005	1815	0	699613	0.0031	4629820	0.0206	13131363	0.0584	24951	0.0001	8080718	0.036	0.302945592	26673826	0.11867339	224766697	198092871	0.88132661	YES	1																																					
335	Hymenoptera	Apidae	Apis	195	2	GCA_013841245.1	long	pacbio	226044179	8.35	2692667	6.43	99.3	0.2	99.5	0.995	0	0.5	100	84864	0.0004	1897	0	968683	0.0043	4180934	0.0185	13132389	0.058	27145	0.0001	9170769	0.0405	0.332675849	27566681	0.121952625	226044179	198477498	0.878047375	YES	2																																					
336	Hymenoptera	Apidae	Apis	227	0	GCA_000819425.1	short	short	243566977	8.39	504	2.7	75.6	0.1	75.7	0.757	13.6	10.7	100	112324	0.0004	3853	0	559619	0.0023	1871915	0.0077	11973876	0.0492	40717	0.0002	7284961	0.0299	0.333449565	21847265	0.089697155	243566977	221719712	0.910302845	NO	600																																					
337	Hymenoptera	Apidae	Apis	198	1	GCA_003254395.2	long	hi-c	225234541	8.35	5382476	6.73	99.3	0.1	99.4	0.994	0.1	0.5	100	100156	0.0005	1958	0	353869	0.0015	3648185	0.0162	13253845	0.0588	113497	0.0005	8281848	0.0368	0.321583228	25753358	0.114331819	225251012	199497654	0.885668181	YES	1																																					
338	Hymenoptera	Apidae	Apis	187	1	GCA_011100585.1	long	pacbio	215652617	8.33	3898192	6.59	99.6	0.2	99.8	0.998	0	0.2	100	441495	0.002	2001	0	542912	0.0025	2194968	0.0102	11399243	0.0528	54309	0.0002	7840462	0.0364	0.348846538	22475390	0.104211928	215670033	193194643	0.895788072	YES	1																																					
339	Hymenoptera	Apidae	Apis	194	1	GCA_014066325.1	short	short	226063288	8.35	303790	5.48	99.5	0	99.5	0.995	0.1	0.4	100	78558	0.0004	1370	0	547602	0.0024	1160680	0.0051	14134772	0.0626	188954	0.0008	7741542	0.0343	0.324545628	23853478	0.105516814	226063288	202209810	0.894483186	YES	1																																					
340	Hymenoptera	Apidae	Apis	197	1	GCA_009792835.1	long	oxford	223527749	8.35	30868	4.49	98.5	0.1	98.6	0.986	0.5	0.9	100	234600	0.001	1978	0	622999	0.0028	1202098	0.0054	14753382	0.066	68946	0.0003	5591113	0.025	0.248769039	22475116	0.10054732	223527749	201052633	0.89945268	YES	1																																					
341	Hymenoptera	Apidae	Apis	205	1	GCA_000184785.2	short	short	228997396	8.36	24915	4.4	98	0	98	0.98	1.2	0.8	100	208133	0.0009	1931	0	538312	0.0024	943396	0.0041	11607573	0.0506	26034	0.0001	6933458	0.0303	0.342243634	20258837	0.088467543	228997396	208738559	0.911532457	YES	1																																					
342	Hymenoptera	Apidae	Eufriesea	309	8	GCA_001483705.1	short	short	596278454	8.78	38936	4.59	96.9	1.5	98.4	0.984	0.6	1	100	14098580	0.0236	2174	0	4907579	0.0083	11336471	0.019	15623709	0.0261	515759	0.0008	262231686	0.4397	0.849427052	308715958	0.517737906	596278454	287562496	0.482262094	YES	8																																					
343	Hymenoptera	Apidae	Euglossa	308	11	GCA_002201625.1	short	short	588199719	8.77	12398	4.09	92.5	1.7	94.2	0.942	2.8	3	100	4906377	0.0084	2039	0	3678727	0.0062	19302187	0.0328	6766733	0.0115	468561	0.0007	141608830	0.2407	0.801256507	176733454	0.300465043	588199719	411466265	0.699534957	YES	11																																					
344	Hymenoptera	Apidae	Ceratina	179	5	GCA_001652005.1	short	short	199936949	8.3	23399	4.37	96.2	1.8	98	0.98	0.4	1.6	100	2311092	0.0115	3147	0	2865920	0.0144	4547999	0.0228	2241603	0.0111	182968	0.0009	12635398	0.0632	0.509735891	24788127	0.12397972	199936949	175148822	0.87602028	YES	5																																					
345	Hymenoptera	Apidae	Ceratina	191	3	GCA_004307685.1	short	short	219302412	8.34	12363	4.09	90.5	5.6	96.1	0.961	1.4	2.5	100	277532	0.0013	1396	0	467134	0.0022	3010461	0.0138	2189802	0.01	28676	0.0001	8557528	0.0391	0.588853323	14532529	0.066267073	219302412	204769883	0.933732927	YES	3																																					
346	Hymenoptera	Apidae	Habropoda	268	8	GCA_001263275.1	short	short	296954667	8.47	22370	4.35	97.6	0.2	97.8	0.978	0.8	1.4	100	2235967	0.0076	408496	0.0014	1736446	0.0058	14705076	0.0496	4772174	0.0161	753561	0.0025	49987229	0.1683	0.670079534	74598949	0.251213257	296954667	222355718	0.748786743	YES	8																																					
347	Hymenoptera	Megachilidae	Osmia	184	8	GCA_004153925.1	short	short	210591136	8.32	454559	5.66	99	0.4	99.4	0.994	0.1	0.5	100	13490511	0.064	75825	0.0004	5111255	0.0243	8419955	0.04	3317994	0.0158	1760101	0.0083	23339421	0.1108	0.420416013	55515062	0.263615378	210591136	155076074	0.736384622	YES	8																																					
348	Hymenoptera	Megachilidae	Osmia	169	16	GCA_012274295.1	long	pacbio	177071571	8.25	5475884	6.74	98.9	0.1	99	0.99	0.3	0.7	100	2182277	0.0123	9857	0	3436539	0.0194	6988540	0.0395	2888317	0.0163	1297786	0.0074	15186281	0.0858	0.474725612	31989597	0.180659136	177071571	145081974	0.819340864	YES	16																																					
349	Hymenoptera	Megachilidae	Megachile	244	7	GCA_000220905.1	short	short	272660569	8.44	64153	4.81	99.6	0.1	99.7	0.997	0	0.3	100	1971075	0.0072	48021	0.0002	6176599	0.0227	32237013	0.1182	7326672	0.0268	693303	0.0025	21618455	0.0793	0.308521534	70071138	0.256990361	272660569	202589431	0.743009639	YES	7																																					
350	Hymenoptera	Halictidae	Lasioglossum	285	32	GCA_000346575.1	short	short	336521443	8.53	16944	4.23	96.7	1.7	98.4	0.984	0.9	0.7	100	2699150	0.008	162170	0.0005	3134597	0.0093	26270998	0.078	4437172	0.0132	936660	0.0029	55064906	0.1637	0.593975709	92705653	0.275482157	336521443	243815790	0.724517843	YES	32																																					
351	Hymenoptera	Halictidae	Megalopta	297	12	GCA_011865705.1	short	short	390114368	8.59	30643	4.49	95.5	1.8	97.3	0.973	0.2	2.5	100	2235532	0.0057	2944	0	5302672	0.0136	28682592	0.0735	13292497	0.0341	1857107	0.0046	70134961	0.1797	0.577203023	121508305	0.311468418	390114368	268606063	0.688531582	YES	12																																					
352	Hymenoptera	Halictidae	Nomia	277	5	GCA_003710045.1	short	short	325881203	8.51	28892	4.46	98.8	0.2	99	0.99	0.4	0.6	100	1963856	0.0061	2282	0	1665253	0.0051	13759079	0.0423	4852234	0.0149	2981709	0.0091	56069957	0.172	0.68971513	81294370	0.249460138	325881203	244586833	0.750539862	YES	5																																					
